lr-AdamW,step,val/loss_reg,val/mse_reg,val/r2_reg,val/pearson_reg,epoch,train/loss_reg,train/mse_reg,train/r2_reg,train/pearson_reg
,5714,,,,,44,0.11165422201156616,0.2017257958650589,0.7619500756263733,0.8740414381027222
0.001,5715,,,,,,,,,
,5841,0.11803838610649109,0.2136019617319107,0.7487092018127441,0.8844308853149414,45,,,,
,5841,,,,,45,0.11157787591218948,0.20168326795101166,0.7619724869728088,0.873910129070282
0.001,5842,,,,,,,,,
,5968,0.10542236268520355,0.1906256526708603,0.7757713198661804,0.8853501677513123,46,,,,
,5968,,,,,46,0.1115667074918747,0.20160049200057983,0.762166440486908,0.874150812625885
0.001,5969,,,,,,,,,
,6095,0.10656698048114777,0.19253957271575928,0.7735201120376587,0.8855970501899719,47,,,,
,6095,,,,,47,0.11192958801984787,0.20233838260173798,0.7612344026565552,0.8739802241325378
0.001,6096,,,,,,,,,
,6222,0.10604175180196762,0.19178315997123718,0.7744306325912476,0.8849536776542664,48,,,,
,6222,,,,,48,0.11117849498987198,0.2009405493736267,0.7628976106643677,0.874482274055481
0.001,6223,,,,,,,,,
,6349,0.10585516691207886,0.1913142055273056,0.7749743461608887,0.8848674297332764,49,,,,
,6349,,,,,49,0.11093349009752274,0.20046213269233704,0.7635636925697327,0.8745762705802917
0.001,6350,,,,,,,,,
,6476,0.11687326431274414,0.21114064753055573,0.7515944242477417,0.8854698538780212,50,,,,
,6476,,,,,50,0.11078490316867828,0.20020557940006256,0.7637585401535034,0.8748055100440979
0.001,6477,,,,,,,,,
,6603,0.104710653424263,0.18923933804035187,0.777417778968811,0.8860161900520325,51,,,,
,6603,,,,,51,0.11110679060220718,0.20082439482212067,0.7630466222763062,0.8745838403701782
0.001,6604,,,,,,,,,
,6730,0.11217231303453445,0.20277762413024902,0.7614468932151794,0.8843128681182861,52,,,,
,6730,,,,,52,0.11117130517959595,0.20089367032051086,0.7627974152565002,0.8744090795516968
0.001,6731,,,,,,,,,
,6857,0.1170816570520401,0.2116224616765976,0.7510404586791992,0.8853968381881714,53,,,,
,6857,,,,,53,0.11118632555007935,0.20096026360988617,0.7628530263900757,0.874791145324707
0.001,6858,,,,,,,,,
